,ts_code,trade_date,close,vol,amount
56,000725.SZ,20200430,3.76,9068285.77,3368565.754
57,000725.SZ,20200429,3.57,5059440.82,1802881.967
58,000725.SZ,20200428,3.54,9281374.75,3256274.704
59,000725.SZ,20200427,3.67,3703907.56,1367681.485
60,000725.SZ,20200424,3.7,5217181.05,1940087.664
61,000725.SZ,20200423,3.77,3377466.8,1277863.098
62,000725.SZ,20200422,3.81,3272531.82,1241243.85
63,000725.SZ,20200421,3.8,4209313.94,1593751.89
64,000725.SZ,20200420,3.85,5767183.67,2207080.137
65,000725.SZ,20200417,3.89,7896785.06,3089662.91
66,000725.SZ,20200416,3.81,3742236.03,1422657.024
67,000725.SZ,20200415,3.84,4888595.63,1884136.609
68,000725.SZ,20200414,3.84,3780655.43,1434347.525
69,000725.SZ,20200413,3.74,2970998.35,1113710.92
70,000725.SZ,20200410,3.8,5518801.45,2115309.968
71,000725.SZ,20200409,3.92,3682357.1,1449942.326
72,000725.SZ,20200408,3.94,5210529.29,2049468.802
73,000725.SZ,20200407,3.94,7362662.06,2891677.17
74,000725.SZ,20200403,3.82,5478329.83,2101933.422
75,000725.SZ,20200402,3.9,8141945.99,3119836.883
76,000725.SZ,20200401,3.8,10326289.12,3936750.371
77,000725.SZ,20200331,3.71,6146179.9,2303423.717
78,000725.SZ,20200330,3.76,9683079.79,3628961.994
79,000725.SZ,20200327,3.95,5334972.19,2126565.271
80,000725.SZ,20200326,3.95,6600273.5,2623513.953
81,000725.SZ,20200325,4.05,9448232.69,3819669.33
82,000725.SZ,20200324,3.95,9250284.41,3630852.736
83,000725.SZ,20200323,3.94,11876670.49,4721849.703
84,000725.SZ,20200320,4.2,8785839.01,3652453.861
85,000725.SZ,20200319,4.18,11211111.48,4617244.945
86,000725.SZ,20200318,4.13,9650096.27,4099022.496
87,000725.SZ,20200317,4.25,11631371.95,4885718.436
88,000725.SZ,20200316,4.15,13399069.3,5763378.683
89,000725.SZ,20200313,4.49,13116606.24,5775659.455
90,000725.SZ,20200312,4.61,13460761.0,6278553.525
91,000725.SZ,20200311,4.88,9709687.73,4797280.218
92,000725.SZ,20200310,5.03,12414668.31,6103572.114
93,000725.SZ,20200309,4.9,12326499.96,6111066.141
94,000725.SZ,20200306,5.16,11874139.1,6116909.327
95,000725.SZ,20200305,5.1,9258229.14,4719468.604
96,000725.SZ,20200304,5.02,11357653.89,5625990.63
97,000725.SZ,20200303,5.09,14714587.36,7620929.811
98,000725.SZ,20200302,5.08,15740903.06,7966407.609
99,000725.SZ,20200228,4.9,18696429.73,9286087.466
100,000725.SZ,20200227,5.29,10600136.03,5670584.444
101,000725.SZ,20200226,5.37,20221779.23,11136219.692
102,000725.SZ,20200225,5.83,20402614.89,11613838.713
103,000725.SZ,20200224,5.75,19603493.2,10977999.31
104,000725.SZ,20200221,5.35,19183246.91,10468709.476
105,000725.SZ,20200220,5.34,20172162.04,10457039.202
106,000725.SZ,20200219,4.96,10543389.22,5305803.335
107,000725.SZ,20200218,5.06,15786928.38,7887316.975
108,000725.SZ,20200217,4.91,13089463.28,6297370.988
109,000725.SZ,20200214,4.68,7186887.3,3372674.651
110,000725.SZ,20200213,4.72,7770056.82,3668883.11
111,000725.SZ,20200212,4.76,7061653.93,3328113.389
112,000725.SZ,20200211,4.75,6862059.28,3263428.811
113,000725.SZ,20200210,4.75,8637977.73,4085855.392
114,000725.SZ,20200207,4.66,8303380.78,3855046.625
115,000725.SZ,20200206,4.67,13497897.69,6174726.92
116,000725.SZ,20200205,4.42,10674127.67,4763540.244
117,000725.SZ,20200204,4.41,14891456.94,6406117.176
118,000725.SZ,20200203,4.25,1544089.0,656237.825
119,000725.SZ,20200123,4.72,10682195.16,5108272.033
120,000725.SZ,20200122,4.92,8895724.76,4330700.981
121,000725.SZ,20200121,4.97,8031574.06,4005605.391
122,000725.SZ,20200120,4.98,8896416.51,4374171.42
123,000725.SZ,20200117,4.83,4917507.82,2388501.348
124,000725.SZ,20200116,4.89,4873499.43,2378049.782
125,000725.SZ,20200115,4.88,7156022.09,3476076.827
126,000725.SZ,20200114,4.96,7731661.9,3834915.414
127,000725.SZ,20200113,4.94,7864806.09,3845497.21
128,000725.SZ,20200110,4.95,7030938.37,3467765.356
129,000725.SZ,20200109,5.0,10964084.83,5495429.974
130,000725.SZ,20200108,4.96,21827493.23,10757770.424
131,000725.SZ,20200107,4.68,6537647.13,3072428.716
132,000725.SZ,20200106,4.71,9472785.02,4471327.996
133,000725.SZ,20200103,4.73,9945405.63,4667172.017
134,000725.SZ,20200102,4.61,8103195.66,3740718.881
135,000725.SZ,20191231,4.54,6249633.31,2843637.287
136,000725.SZ,20191230,4.56,9668945.59,4366782.829
137,000725.SZ,20191227,4.64,11744059.05,5535803.934
138,000725.SZ,20191226,4.83,11781181.32,5670161.331
139,000725.SZ,20191225,4.74,7946674.08,3740227.994
140,000725.SZ,20191224,4.7,9582547.55,4410735.133
141,000725.SZ,20191223,4.56,11865097.22,5560483.237
142,000725.SZ,20191220,4.68,9419358.09,4467357.138
143,000725.SZ,20191219,4.69,12833239.42,6055358.307
144,000725.SZ,20191218,4.66,13299575.9,6218775.925
145,000725.SZ,20191217,4.75,24691040.32,11456030.375
146,000725.SZ,20191216,4.39,17792634.93,7720566.945
147,000725.SZ,20191213,4.11,8152887.59,3330182.192
